Hour in the Day	Duration Time (min)
9.333333333333333481e-01	1.405000000000000071e+01
8.900000000000000355e+00	8.699999999999997513e+00
8.750000000000000000e+00	1.800000000000000000e+01
1.301666666666666750e+01	1.100000000000000000e+01
8.683333333333333570e+00	1.200000000000000000e+01
8.949999999999999289e+00	1.190000000000000036e+01
1.203333333333333321e+01	1.380000000000000071e+01
1.228333333333333321e+01	9.000000000000000000e+00
1.708333333333333215e+01	1.058000000000000007e+01
1.968333333333333357e+01	9.849999999999999645e+00
6.933333333333333570e+00	7.429999999999998828e+00
1.938333333333333286e+01	1.025000000000000000e+01
8.699999999999999289e+00	1.400000000000000000e+01
5.883333333333332860e+00	5.200000000000000178e+00
8.550000000000000711e+00	1.300000000000000000e+01
8.933333333333333570e+00	1.236999999999999922e+01
1.743333333333333357e+01	1.111999999999999922e+01
1.059999999999999964e+01	1.600000000000000000e+01
1.525000000000000000e+01	8.000000000000000000e+00
5.183333333333333570e+00	7.000000000000000000e+00
8.916666666666666075e+00	1.147000000000000064e+01
1.666666666666666574e-01	7.000000000000000000e+00
1.203333333333333321e+01	1.088000000000000078e+01
1.573333333333333250e+01	9.000000000000000000e+00
1.733333333333333215e+01	1.090000000000000036e+01
1.781666666666666643e+01	7.530000000000000249e+00
8.966666666666666785e+00	7.169999999999999929e+00
1.568333333333333357e+01	8.970000000000000639e+00
2.293333333333333357e+01	8.199999999999997513e+00
9.216666666666666785e+00	1.294999999999999929e+01
1.025000000000000000e+01	1.000000000000000000e+01
1.461666666666666714e+01	1.200000000000000000e+01
5.400000000000000355e+00	7.000000000000000000e+00
1.369999999999999929e+01	9.920000000000001705e+00
1.806666666666666643e+01	7.000000000000000000e+00
3.100000000000000089e+00	8.000000000000000000e+00
4.033333333333333215e+00	1.116999999999999993e+01
1.046666666666666679e+01	1.000000000000000000e+01
8.916666666666666075e+00	1.800000000000000000e+01
1.521666666666666679e+01	9.000000000000000000e+00
1.766666666666666785e+01	1.000000000000000000e+01
1.115000000000000036e+01	1.115000000000000036e+01
2.103333333333333499e+01	9.000000000000000000e+00
2.066666666666666785e+01	7.450000000000000178e+00
